Student ID,Student Name,Email,Mobile,Dept/Branch
SP26-0001,Rahul Kumar,rahul.kumar@example.com,9876543210,CSE
SP26-0002,Priya Sharma,priya.sharma@example.com,9876543211,ECE
SP26-0003,Amit Patel,amit.patel@example.com,9876543212,MECH
SP26-0004,Sneha Reddy,sneha.reddy@example.com,9876543213,CSE
SP26-0005,Vikram Singh,vikram.singh@example.com,9876543214,EEE
SP26-0006,Anjali Gupta,anjali.gupta@example.com,9876543215,IT
SP26-0007,Rohan Verma,rohan.verma@example.com,9876543216,CIVIL
SP26-0008,Neha Joshi,neha.joshi@example.com,9876543217,CSE
SP26-0009,Arjun Mehta,arjun.mehta@example.com,9876543218,ECE
SP26-0010,Kavya Nair,kavya.nair@example.com,9876543219,MECH
